	Indie author 6 inspiring books memoir/fiction #MentalHealth No Stigma,BPD/depression/OCD recovery Counselling student,Pets: cat, hamster, fish Also @SandraMDean	501971028
	The Transient Response Project: BPD/Mental Health Peer- Led Support, Advocacy & Education.	1054048915
	Struggling with depression, self harm, and Borderline. Introverted. I'll take any support you can offer.	2874378024
	dialectical behavior therapy peer support: Building Hope, Community & skillful means. We Love People with BPD!	2253228458
	Live Support Online for #Relationships, Loved Ones of #BPD, and #OnlineCounseling #Sexuality #Borderline #Narcissism #PersonalityDisorders #MentalHealth	3065353404
	BPD group started by @LiveLikeJay84	2994968391
	This is a support group page dedicated to those who directly or indirectly suffer with anxiety, depression and/or borderline personality disorder (BPD).	3315834190
	A life with Borderline Personality Disorder and journey into Dialectical Behaviour Therapy; trying to support others & make a difference in the world	25145886
	Blogging about my life with #BPD, #MDD & #OCD. Hoping to grow, share, support & connect.	2659042212
	The Overwhelming Emotions  Support group is a peer-led initiative for those with Borderline Personality Disorder and family members.	66572326
	Psychotherapeut (HP) mit Schwerpunkt auf BPS / Psychotherapist mainly for BPD	2409484974
	Writer, wannabe author, creator of things, and more than a bit nerdy. Let's be socially awkward together! #BPD	110483398
	New to twitter. BPD sufferer, looking for support.	2532956320
	MH Educator. Certified Peer Specialist. Supporting people w/ BPD & their families. #BPDChat, DBT skills, mindfulness, MBT, compassion, suicide prevention.	434626652
	dad / husband to tracey llikes doctor who , emmerdale , tattoos , lucy kay , Living with bpd , depression , mental health matters , love my twitter family xx	47967647
	Bachelor's of Psychology's degree and massive supporter of Jared Padalecki's Always Keep Fighting. Living w/Borderline & Bipolar I. Contact for free support!	866643422
	More messed up than ever. Want to be support to you all while I myself need twitter buddies. Symptoms of bipolar, probably bpd & add but not diagnosed with any.	408941158
	Australian DBT Institute educates, supports & develops health professionals in DBT based programs for individuals with Borderline Personality Disorder.	522190537
	Diagnosed bipolar type 2 rapid cycling, borderline personality disorder and INFJ. Sharing experiences, offering support and at times a wicked sense of humor.	3179153734
	a #StoryTeller, #Performer, #HamiltonFringe, #BorderLineMe, #LifeSkillsCoach, #Blogger, #Counsellor, #SocialServiceWorker, #ArtistPainter & a #Mom	2583441239
	I am a stay at home mom, I like to write and I have bipolar II, BPD and PTSD. I fight with that everyday. I support all who are struggling with mental health	2427246457
	engaged. bpd, completed dbt group therapy once. six months cut free and counting. mental health awareness	2206669684
	l founded DragonHeartFire as a means of offering support to others through the stories of my journey with Borderline Personality Disorder (BPD) #ItsOkNot2BeOk	3079361874
