"term","weight"
"dreamer","-15.4278992974"
"fir","43.2986145152"
"fit","-34.2450712386"
"bringing","19.1163416079"
"fix","101.149178654"
"rescued","80.7403003175"
"wales","52.1488862411"
"hidden","13.7136173784"
"fin","-118.006257938"
"easier","89.7364956281"
"basta","-10.1740456231"
"lambert","43.4678536167"
"zac","-20.3383228465"
"effects","46.3111191932"
"schools","-88.3381166169"
"blink","35.1940171988"
"silver","-23.9274596083"
"represents","-82.3236855841"
"ruth","91.7349079825"
"debut","13.7949005577"
"crops","232.677193566"
"arrow","107.934200096"
"addicted","-34.5049769097"
"volcano","111.731667061"
"financial","77.8277823508"
"snakes","76.4436138396"
"series","0.188534578682"
"turnin","-30.7709668209"
"allah","-134.751901751"
"spider","-212.797985965"
"dubstep","-94.9295041338"
"we'd","-19.5245013916"
"2day","13.3668286054"
"ring","-96.2605671231"
"whip","130.814774881"
"rt","44.7603584622"
"rs","-196.28091382"
"refrigerator","114.209200519"
"sms","-384.211928872"
"mason","50.8966810777"
"rd","90.2925415393"
"re","211.813810357"
"encourage","-141.636575784"
"ra","-26.9764232342"
"smh","-240.067017562"
"ro","180.728149988"
"foundation","-77.1474453303"
"assured","194.35943486"
"threatened","69.3953386098"
"kayla","-72.8733779316"
"necessarily","288.934663429"
"sandra","70.3874019538"
"sheet","-77.6622225538"
"metallica","-86.4893758363"
"enormous","84.1801609959"
"ate","-199.23767323"
"ata","-44.4339624352"
"atl","-46.365600789"
"atm","-169.221263607"
"ups","-67.5309219635"
"att","125.538799462"
"musicians","65.1246077931"
"today's","208.132156273"
"kingdom","-11.9792603092"
"9pm","34.5572809802"
"veggie","-23.7591211421"
"channels","99.1612986948"
"wash","14.7719572205"
"spinning","61.0224259085"
"kfc","-53.8219037779"
"clarity","80.0760209441"
"bitten","-4.83325283984"
"olds","-107.865041582"
"basketball","38.2087078168"
"service","109.111701653"
"lego","-11.3080912572"
"engagement","-3.4261530761"
"tango","153.210278355"
"needed","90.6321186121"
"master","219.536499845"
"listed","76.2976018122"
"nlng","-50.2154700403"
"gilbert","11.7462589837"
"legs","-142.814209528"
"bitter","-149.483890064"
"listen","-61.4844738631"
"rewards","221.871935602"
"collapse","29.7954132274"
"kno","-32.2711280662"
"cocktails","-31.5861333883"
"bounty","-53.9152265973"
"wisdom","-13.3227251132"
"nirvana","-165.85415027"
"predictable","-55.0027745543"
"crawl","-61.9506434465"
"positively","56.3265456523"
"trek","185.877173925"
"showed","-5.47986983507"
"coward","-29.3524876972"
"tree","-92.599173594"
"rusty","57.2296088804"
"nations","49.0871833928"
"project","-24.9405548695"
"pneumonia","222.018785551"
"idle","5.83756963694"
"sheen","84.1043521966"
"tres","7.99615466984"
"feeling","-38.6014542319"
"este","-41.2948610103"
"esta","96.9896369515"
"runner","-25.6593641084"
"boston","-1.2160251402"
"corny","-94.4765880973"
"picks","-99.0105079793"
"dozen","262.728049167"
"kayo","-86.2929713479"
"affairs","-47.6474325552"
"person","-85.5919730374"
"responsible","291.827333024"
"kaya","76.1751279542"
"recommended","130.68628749"
"causing","-198.297587843"
"amusing","-150.848602662"
"doors","-91.8744177049"
"hum","148.937934142"
"hurtful","64.9105156825"
"shall","-242.956780799"
"thrilled","398.508715355"
"screwing","-22.8702431252"
"doin","23.8772188478"
"object","-29.4227436777"
"wells","130.095532389"
"victoria","155.929799506"
"y","11.1097938122"
"mouth","59.2438246358"
"addict","-67.0204240348"
"letter","-136.77763023"
"organization","-211.55080662"
"kailangan","-69.1490530077"
"macbook","-31.8292745428"
"thriller","-64.9806838064"
"laughing","-171.561451734"
"hut","-196.591565802"
"singer","-102.962425078"
"episode","-115.325767259"
"released","-120.212227799"
"grove","-17.2629514539"
"professor","-179.855111824"
"camp","-354.063104928"
"everythin","75.8896865651"
"tech","-70.1495800137"
"scream","-128.299487826"
"came","-64.9237836074"
"marvel","42.0497506958"
"saying","-99.354468851"
"boogie","43.6696879289"
"bomb","-132.330144802"
"tequila","142.504057699"
"teresa","42.9505488535"
"participate","33.5719879999"
"tempted","48.4080794971"
"lessons","37.9814238986"
"orleans","60.1649879985"
"touches","-42.0843688596"
"busy","-1.59254402309"
"layout","-177.018304168"
"louise","-42.3123047783"
"ment","-124.911518763"
"cousins","-172.164391303"
"baby's","-36.8302788838"
"bust","-125.515793919"
"than","-6.75550685461"
"rihanna","38.8274661332"
"rico","67.2030428415"
"theme","-112.893111696"
"bliss","223.759748389"
"rick","253.73607246"
"rich","121.104070233"
"mend","212.744592383"
"rice","-47.0862431871"
"plate","74.027404709"
"honda","-27.0218868434"
"psychiatric","-35.0342208783"
"pocket","-54.7051964582"
"midterms","-24.0860780152"
"net","-143.005406636"
"lmao","122.410790067"
"greens","52.4056604171"
"nicely","-16.9776724863"
"tights","-57.3536968211"
"patch","-15.1780348718"
"avenged","-32.679094401"
"piggy","-43.4857262649"
"release","-43.6661859155"
"respond","-32.6233387573"
"blew","55.3604555075"
"mandatory","-51.4451090305"
"disaster","223.90522466"
"fair","20.6112283693"
"unexpectedly","-7.38175964255"
"goodnight","-170.697669361"
"sparkling","9.71440631961"
"result","229.445579292"
"fail","-35.3354947644"
"bagay","-79.5762441869"
"hammer","-0.685778556361"
"bleh","-13.6940798804"
"best","-121.770239231"
"moron","30.8587531185"
"lots","265.795634742"
"rings","-135.834666333"
"score","-63.1747184885"
"melissa","90.0706657581"
"yogurt","-6.98674050382"
"pirate","-74.7164643503"
"discipline","61.9870144439"
"men","35.0950701594"
"extend","-67.0798102926"
"nature","-1.8753585747"
"rolled","75.7328523639"
"smelled","-70.9771486933"
"fruits","-55.9741468252"
"rides","-11.7110906105"
"wtf","81.5456515098"
"wth","134.714663151"
"debt","78.9769310004"
"havnt","-142.830999875"
"roller","0.0904900684435"
"pity","29.8528705531"
"accident","-21.9577537459"
"sacrificing","-54.529946246"
"reported","210.070835065"
"country","-76.2661249183"
"heating","282.870679462"
"edgar","2.89673690669"
"planned","-261.613505343"
"lookin","-179.270069623"
"logic","-94.5267739104"
"dora","-165.982645209"
"login","12.6805991391"
"argue","-46.1045434139"
"asked","101.015834985"
"30th","-63.5062635998"
"vain","-30.5215832901"
"waaay","-0.335098371354"
"2nd","-150.545159921"
"102","-43.7180251846"
"canyon","-29.8308664897"
"niya","-130.803296361"
"pregnancy","-193.13110417"
"diff","-30.1138155063"
"blonde","57.4210527716"
"truthful","-16.7111048035"
"cardboard","-63.6416939836"
"source","3.85822076258"
"chrome","-137.17189252"
"fri","268.210562683"
"fro","24.5238552853"
"frm","-49.5812092654"
".","1.47983570656"
"twain","215.943329524"
"much","15.4972591331"
"stadium","-14.7738774526"
"privilege","69.6246998928"
"fry","-26.4303284788"
"jackass","-51.0550647209"
"ann","50.3926530313"
"dots","18.5155946013"
"life","-1.86375222627"
"sydney","-43.1258766"
"spit","88.4087055882"
"eastern","110.267440465"
"worker","33.2536792888"
"ani","49.8113395728"
"dave","319.266364668"
"lift","116.364624629"
"chile","45.9805477932"
"child","40.6925707762"
"chili","155.228011781"
"haters","108.830433968"
"spin","32.7531516356"
"cum","57.7275586203"
"cunt","-127.591748136"
"chill","108.038671151"
"linkin","13.7680684447"
"ada","150.196573636"
"tanning","111.69131321"
"flooding","131.382626472"
"remembering","466.925230309"
"bin","-83.6293651975"
"played","-23.9374205486"
"player","-12.726799671"
"v-day","-124.537933977"
"violin","-165.685693899"
"ignoring","124.391659738"
"darkhorse","211.627052921"
"trusted","70.2401421684"
"memorial","322.66835956"
"thingy","-155.876531222"
"things","-95.8457229058"
"toaster","-53.7815053968"
"craigslist","37.5627948983"
"split","20.0962635914"
"babies","-126.786990486"
"european","-105.019770252"
"fairly","-45.4524267177"
"boiled","-26.9285279966"
"superstitious","123.055438038"
"tops","89.9674037629"
"supper","309.845359355"
"tuna","36.892832874"
"cocoa","-84.0942423282"
"lucas","-5.62646994366"
"_________","-39.7073678455"
"academic","-88.5358265813"
"nachos","-6.1692091589"
"corporate","91.2364695078"
"opinions","-159.333457145"
"cam","48.3314058087"
"givin","-14.9673480136"
"sleepy","-157.685614087"
"terrorist","-78.9987655482"
"disguise","-140.786738154"
"birmingham","-58.0214020404"
"waht","-53.5718420994"
"rushing","-12.9443793466"
"previous","-22.8474767302"
"hah","30.0257081237"
"hai","-90.5004957744"
"hal","-23.8144451744"
"ham","114.701668823"
"han","-185.762177942"
"phillips","15.1649995587"
"haa","-51.176641436"
"ease","-84.2694085842"
"had","7.45002526564"
"hay","131.024562807"
"haz","91.0101369986"
"innocent","-241.40105826"
"prison","95.9427998246"
"har","-53.1286874535"
"has","-53.1076972601"
"hat","-84.1308197542"
"hav","-80.2275675757"
"survival","-47.392528439"
"possible","-105.626705896"
"awhile","202.723754235"
"possibly","-213.217857555"
"rocket","2.68729787004"
"birth","300.447707561"
"shadow","-17.1399196158"
"unique","-154.214777"
"6:00","148.805050491"
"12:30","-194.487908429"
"desire","16.1574607259"
"brought","-88.8831536167"
"bobby","94.8528183758"
"seek","63.921357259"
"alice","1.99080438191"
"steph","-87.68864252"
"remind","23.3891716433"
"festivities","-41.3455039421"
"steps","4.19166992557"
"battlefield","-125.962312536"
"right","30.5022826681"
"old","317.839248958"
"ole","254.470730074"
"crowd","-144.790168446"
"people","-145.842942948"
"creed","47.596251081"
"crown","-40.8523652101"
"creep","-35.2929130707"
"enemies","-391.515237829"
"cocaine","-54.0043278255"
"for","14.2339191817"
"bottom","91.2385851272"
"pregnant","-536.821187889"
"fox","-125.522774771"
"creative","171.352554563"
"witty","-31.8514143779"
"foe","-81.9782327868"
"fog","355.413339708"
"treadmill","201.830783095"
"umm","-153.881348712"
"foo","-46.9716559219"
"completly","-95.2397360405"
"shakes","-36.2515068086"
"rep","-87.6306112009"
"betrayal","-19.6342210469"
"dental","46.4689693961"
"trampoline","-30.5555185539"
"starring","-43.5287446884"
"losing","193.411556995"
"memorable","-38.4557367541"
"shaken","47.4562809494"
"=d","-56.8398758508"
"filipino","-91.4600358257"
"visitors","-26.8573652649"
"dyin","-33.7604588921"
"gaze","-67.5364338596"
"dollars","-317.59891247"
"citizens","142.961166694"
"o","78.6759019577"
"despair","17.4508417191"
"stoked","-200.814229807"
"observation","297.005672404"
"slightly","-312.712253741"
"ffs","47.8939844841"
"raised","199.587774591"
"sob","-38.7487290528"
"statements","42.0008980952"
"marshall","12.3056481186"
"som","119.477211019"
"sol","-43.2879781444"
"soo","-27.2929928668"
"son","928.76594625"
"thankful","168.460671882"
"sos","-77.192530939"
"soy","-140.909983332"
"sox","-75.6482382796"
"shoots","83.82782342"
"fabric","88.2052317218"
"waits","-46.9798548125"
"support","30.1251469174"
"constantly","-266.16215705"
"nova","70.5296264845"
"raped","-79.112559438"
"joseph","81.5986352554"
"boy's","-67.2496779231"
"greatness","-96.6122518472"
"jane","-6.25871988191"
"definatly","-171.92728751"
"tnx","-56.3974322403"
"halls","-51.6414520333"
"happy","76.1328495189"
"offer","66.9963701173"
"tama","-138.649596314"
"tigers","-89.8088847052"
"grrrrrrr","90.5027364217"
"notifications","-92.1318374737"
"talents","-43.95187575"
"wakas","-14.2834263139"
"congratulations","117.906416957"
"calc","88.8677329305"
"airbender","-63.7323732149"
"else's","-30.2197435708"
"inside","-19.7707591843"
"talaga","1.76790930549"
"complications","81.2761706438"
"lays","-80.747221387"
"istlef","-21.0036164299"
"smashed","94.619068481"
"palm","50.3711815994"
"passenger","-6.45565642197"
"later","68.7973971889"
"liberal","-11.4488756398"
"minaj","-69.0041748925"
"tournament","209.796865816"
"textbook","-126.229593925"
"crumble","-65.1441845516"
"meron","80.0873128416"
"proves","-72.1136525378"
"exist","-143.318658389"
"accounting","-210.075894797"
"mrs","-256.107499479"
"dealer","198.678879325"
"cassie","41.6600751529"
"crutches","70.5577432102"
"ehhh","-73.2379576937"
"relay","-57.564207617"
"floor","51.6041323148"
"sheesh","111.622553257"
"actor","198.061757483"
"flood","74.8529297105"
"youand","-93.3617709459"
"role","-121.411276205"
"becuase","-235.656492551"
"smell","31.2998414529"
"roll","128.589273011"
"intend","127.324624774"
"models","76.0051032"
"hols","152.55295671"
"stealing","54.9547089052"
"muslims","-59.9278434959"
"intent","167.660320552"
"smelling","42.3325021794"
"rolling","100.599222303"
"nxt","-119.764924248"
"98","47.3542682829"
"bball","-11.4662452169"
"ren","-33.2066834644"
"time","3.3325461249"
"push","3.4949120877"
"puso","62.4400935818"
"gown","-22.4168650207"
":/","32.7411364281"
":(","-18.5370368823"
":)","-25.13323692"
"corps","-70.3245384826"
"whoever","-235.225949223"
"hangovers","-83.2938651037"
":<","6.95163015324"
"theaters","-79.6236782772"
"skate","-113.842040613"
"::","-17.1262477494"
"skiing","-178.477814901"
"chair","344.157887681"
"hole","-39.0270261774"
"vet","192.20116718"
"hold","102.607730113"
"ver","-38.0881978144"
"happpy","30.5436374071"
"unpack","27.6078954781"
"vez","-38.9773169993"
"hola","-6.75750883055"
"96","-8.53808345794"
"veterans","233.357905207"
"downloading","-27.9642046583"
"icing","21.9466993977"
"jerk","35.2110487787"
":d","-29.9658122777"
"cheap","-20.5463503403"
"choice","192.290088554"
":|","-20.8540163317"
":}","-49.2334509134"
"gloomy","5.62774448691"
":x","-62.900531892"
"stays","-20.7868969642"
"fullest","-236.854712065"
":p","-36.1067580224"
"w00t","-194.877447891"
"minute","111.880712047"
"cooks","6.02426146901"
"tear","-269.759066194"
":@","-18.6910694061"
"invade","25.4699583031"
"leave","-119.188370684"
"solved","-47.2054218606"
"settle","102.730493923"
"elsewhere","196.155286385"
"subway","-181.532687847"
"hittin","-71.0054584129"
"team","-123.358119484"
"loads","29.361797669"
"son's","505.794164098"
"unaware","-46.4053081418"
"prevent","-85.6777494158"
"spiritual","603.163082988"
"droid","4.59018771554"
"insignificant","-55.7060707761"
"attic","73.8905922345"
"sigh","-22.5964567203"
"prediction","48.5472015783"
"steaks","200.739777534"
"shirts","56.547234685"
"celebrated","181.711421239"
"melt","0.290084865533"
"current","-50.5076144306"
"300","-157.761827828"
"freaks","43.504677038"
"falling","-76.3617014275"
"crashing","-142.532274615"
"freaky","17.0230826333"
"jury","376.261754015"
"grandparents","-478.172618558"
"funeral","258.121103463"
"understanding","258.836904402"
"snack","-158.730039237"
"yards","13.5042030688"
"address","-36.5658302198"
"alone","-55.1027227377"
"along","-113.715806087"
"='(","-3.20999220281"
"redemption","-208.397882685"
"brilliant","134.81750295"
"studied","40.0305791605"
"wherever","-3.5344218335"
"example","-127.158139225"
"accomplished","-108.258881835"
"studies","-354.789945955"
"tasks","-18.7457849087"
"love","7.58172487544"
"prefer","-6.81333174795"
"logical","-171.808972119"
"bloody","198.019521139"
"marvelous","-24.3352767561"
"fake","-222.542536518"
"sky","-247.236744466"
"working","56.9910349799"
"homesick","-4.67867173259"
"positive","353.086703467"
"angry","-220.173914834"
"opposed","57.5571917318"
"wondering","386.823942651"
"films","65.6728143217"
"wicked","181.18632546"
"scratched","-40.8406596495"
"introducing","-99.6112703229"
"afford","461.539090423"
"claus","81.1852968033"
"oregon","101.870061372"
"sierra","76.5556614828"
"visual","71.7422091259"
"everywhere","82.6408132508"
"virtue","86.617541727"
"lalalala","5.18953472868"
"easiest","-0.600595236124"
"behalf","-13.0669479475"
"involve","-61.2758021804"
"deserved","-24.1314592014"
"originally","77.795791041"
"pretend","-3.59243207412"
"believer","89.5694045939"
"believes","227.53990059"
"printing","-64.7159274174"
"values","46.5086936322"
"following","-67.5340991766"
"mirrors","-20.1356436133"
"frogs","100.773514178"
"muah","3.54500776933"
"awesome","-97.7127804171"
"nascar","184.870217858"
"locks","-23.9778411096"
"oatmeal","142.454963636"
"hides","-13.8000355774"
"allowed","176.255558857"
"offense","-55.3334640456"
"stole","-39.4551935675"
"listens","-130.566285031"
"winter","273.523229552"
"divided","45.5520520178"
"poking","109.368242101"
"thanking","-38.243357999"
"immune","-19.0578340596"
"vancouver","-28.1859962278"
"elephant","-48.2497193886"
"haveing","-118.041548787"
"coleman","-134.440278743"
"t-shirts","-91.9237464853"
"laundry","8.39344557605"
"explorer","-66.6034850688"
"blasting","-109.71100747"
"spot","116.312442083"
"dats","93.1994250988"
"latte","98.9935518346"
"applications","-17.1166729009"
"date","-20.936056041"
"such","-164.032277274"
"suck","78.2872772583"
"dove","-23.7282355433"
"stress","-0.903753780145"
"surfing","-2.61007375283"
"natural","-95.188216023"
"conscious","417.815629545"
"ss","-102.3651209"
"sr","82.2358704656"
"sp","-49.4412854976"
"baka","46.7587606187"
"su","-32.0174856692"
"st","239.866158845"
"hon","49.7847931844"
"si","4.09471899234"
"sh","12.1721579203"
"so","-71.8277789877"
"sn","-104.970547528"
"sm","-39.403264994"
"swollen","-71.9029439853"
"snowed","-113.013752668"
"sa","0.888104842219"
"pulled","-41.0751036839"
"sf","41.4870045173"
"se","28.9437703681"
"sd","-49.041686003"
"drunken","-99.130820386"
"differences","-11.3730542688"
"years","500.52498291"
"professors","-29.5499110561"
"course","396.689401027"
"episodes","54.3259973664"
"kanye","-98.7545534508"
"tore","-67.9339802308"
"thumb","128.425821995"
"jim","346.819023477"
"troubles","-173.248758339"
"stupidity","257.814308408"
"attraction","-46.8038978584"
"celebrate","260.74899237"
"troubled","92.0096656526"
"diwali","-241.363259947"
"instantly","-59.8607203193"
"matches","-49.2741930123"
"smarter","12.7717733847"
"insomnia","243.169973206"
"feelin","-91.9929835026"
"records","20.0557209813"
"arriving","114.430776066"
"sorted","131.984169944"
"twilight","-120.600833141"
"\\","-75.3007833539"
"shouted","-113.567487878"
"bowling","-53.4072391692"
"veins","-80.335232126"
"quarter","221.33375987"
"turtle","-143.538906741"
"square","21.2239311042"
"crushing","-0.546753659335"
"fallin","-113.471011002"
"entering","-36.2385017058"
"giddy","76.0523550156"
":'(","-143.396612938"
"canvas","-65.317282842"
"ughhhhh","39.6398825332"
"fu","146.690255517"
"sunburnt","-95.0329295597"
"believers","9.46647432389"
"seriously","-62.1742300673"
"exploding","-11.0688322341"
"internet","-236.521750673"
"formula","-97.0898350224"
"bla","38.3380779619"
"sings","61.9561938401"
"million","-192.394999122"
"seventh","17.9852410145"
"possibility","176.879251172"
"quite","-283.704900964"
"disrespect","44.5454060728"
"bumps","-12.6977059691"
"complicated","-101.873420593"
"crazier","17.3723175659"
"besides","-150.289147059"
"grandma","-282.203133036"
"poems","109.579966898"
"___","-52.5785136371"
"scarred","-80.6641026495"
"raed","-76.500880275"
"training","-160.273723633"
"dunno","-122.313209097"
"tasting","145.972794257"
"punk","-323.507879823"
"chevy","-103.095509137"
"massive","-292.558270102"
"cos","-64.1062802271"
"emotion","-206.100278447"
"intuition","34.7630356678"
"saving","-226.711564463"
"spoken","87.7747021297"
"potter","-204.083240183"
"ong","-133.254941378"
"one","18.9837700852"
"specifically","-88.0044999297"
"spanish","-31.4419702089"
"vote","20.3455395211"
"chubby","33.74557776"
"open","58.0416216988"
"ripping","-33.8928875007"
"city","-110.081408615"
"looong","-71.2739336109"
"wrath","-72.5461337285"
"bite","44.9626257701"
"waist","175.29350467"
"fml","-34.7124064109"
"2","38.6844733789"
"draft","-70.2609211414"
"stuffed","-12.1699481961"
"typing","-166.177636512"
"bits","222.064815246"
"williams","-67.3315050835"
"shawn","-63.9286667212"
"proving","-57.1319470277"
"ridiculous","-183.21823128"
"fooled","17.2991180726"
"boyfriend","-244.807760125"
"bored","-15.216296705"
"depressed","-103.147502019"
"non-stop","-10.4059391276"
"rehab","356.60372775"
"future","-210.538828951"
"nie","28.8958570403"
"sophie","-56.0393698095"
"counselor","19.3968800758"
"wandering","-8.24640297398"
"russia","-222.291592722"
"illness","311.656114576"
"san","5.4826690252"
"nicer","62.0988693441"
"ahhhhhhhh","-36.6435046675"
"sab","9.62752807501"
"turned","-5.25325101627"
"argument","-49.0660591818"
"alley","-19.1089975002"
"sad","110.796901153"
"woah","-59.6221747872"
"tastes","-171.318026246"
"rained","-2.03418236556"
"buried","174.127633755"
"allen","33.3538622734"
"turner","-26.194442349"
"saw","-55.7332392036"
"sau","54.2405947446"
"sat","-21.0678092283"
"zoe","79.0932707056"
"cigarettes","114.71641196"
"translate","-97.4883404924"
"aside","-102.748317379"
"zoo","-256.882462401"
"note","-99.8361333802"
"omfg","132.93875487"
"jefferson","248.474247027"
"take","36.9880801361"
"wanting","-8.74840840607"
"mayer","38.6722905598"
"butterfly","4.91244941435"
"handing","70.6397959207"
"printer","152.029288179"
"opposite","-250.709632169"
"knew","46.039441354"
"fails","-186.650703934"
"buffet","33.1733673994"
"printed","117.380752389"
"knee","169.927331916"
"pages","-112.611299009"
"damage","382.563062898"
"lawn","65.9196684121"
"peice","-79.0122099922"
"average","-199.458812753"
"phil","129.393402445"
"drive","49.8081421848"
"ways","-160.270898834"
"axe","-14.5012888197"
"link","152.885368292"
"salt","98.0964167577"
"laws","39.6420772063"
"walking","-120.879428651"
"peaches","62.781535199"
"boyz","84.3889577485"
"bright","-105.866311864"
"ama","-25.58901658"
"aggressive","116.359898968"
"imagined","-25.7464228766"
"spoons","-53.7343599298"
"slow","-0.678159091953"
"wut","-40.9767183744"
"foward","-150.599782083"
"tears","-87.2509492275"
"going","-102.963524635"
"actin","-76.2244111967"
"hockey","-25.5066707142"
"caroline","1.74704011902"
"carolina","-65.5967950462"
"beatles","-145.595604824"
"goodluck","-97.4997667667"
"assistant","-109.626357004"
"freezing","82.6371785639"
"rad","-54.9314704755"
"outlet","-9.92483005109"
"awaiting","-10.6117537504"
"prime","14.6804257204"
"pimp","-4.24637397433"
"settings","519.716245136"
"borrow","-18.2069028378"
"awwwww","0.0902931888922"
"worried","70.3243334531"
"priest","-90.2856956961"
"roger","132.674216258"
"could've","-166.791979548"
"landlord","15.291063532"
"worries","63.8828537842"
"where","36.3532183064"
"xmas","280.798801097"
"vision","255.085635119"
"sirens","3.52092583033"
"sucky","2.72140791657"
"espn","-145.739354529"
"wud","-134.929113562"
"gangster","-12.3084354387"
"anyways","-341.716635334"
"surgery","497.048591433"
"erica","4.30391872265"
"no-one","-46.0386739459"
"clips","-21.9480089898"
"dexter","120.441991154"
"harvey","-5.65550942734"
"sites","244.197610147"
"refreshed","-62.2703764908"
"ui","-140.774963554"
"enjoys","-194.862370155"
"jumper","-81.2724421525"
"jobs","11.4577330513"
"mature","-163.333952996"
"lettin","-42.9144443588"
"farts","99.2178639101"
"screen","-77.1270741626"
"dome","-34.1631972605"
"concentrate","137.774120781"
"spare","165.111075357"
"jets","-33.5201940135"
"spark","-134.241060826"
"mans","29.6040435698"
"many","111.609457743"
"1:30","-28.5344356434"
"millionaire","55.3303723812"
"flipped","-50.8665441034"
"mana","75.131280033"
"s","34.6691844077"
"loudly","69.1397981253"
"mane","-69.5846760121"
"mang","33.2639461736"
"mani","-133.506401755"
"expression","89.354958923"
"backpack","-130.986757123"
"can't","-34.4514351565"
"riddle","-180.664307386"
"fi","-9.95364060046"
"como","12.7235915295"
"stream","132.575504699"
"ants","-12.8103171635"
"nooooo","35.2034133765"
"twin","-25.6908091989"
"anti","107.636371468"
"3000","58.3958560324"
"comeback","-106.820266178"
"boat","-32.0651783768"
"caring","82.516122438"
"teddy","-75.4493802031"
"stretch","136.436467257"
"west","50.8928847015"
"vacation","306.345630794"
"breath","-28.4708313064"
"defined","-141.853302786"
"combined","-47.1791106269"
"motives","-102.101167777"
"wants","-102.84485025"
"enable","93.1640014774"
